NEIGHBORHOOD,SALE PRICE,YEAR
STAPLETON-CLIFTON,19,2017
SUNNYSIDE,20,2017
TODT HILL,45,2017
TOMPKINSVILLE,16,2017
TOTTENVILLE,136,2017
TRAVIS,59,2017
WEST NEW BRIGHTON,110,2017
WESTERLEIGH,102,2017
WILLOWBROOK,91,2017
WOODROW,69,2017
ANNADALE,103,2016
ARDEN HEIGHTS,86,2016
ARROCHAR,16,2016
ARROCHAR-SHORE ACRES,11,2016
BLOOMFIELD,181,2016
BULLS HEAD,115,2016
CASTLETON CORNERS,50,2016
CLOVE LAKES,47,2016
CONCORD,34,2016
CONCORD-FOX HILLS,57,2016
DONGAN HILLS,35,2016
DONGAN HILLS-COLONY,23,2016
DONGAN HILLS-OLD TOWN,1,2016
ELTINGVILLE,109,2016
EMERSON HILL,13,2016
FRESH KILLS,0,2016
GRANT CITY,47,2016
GRASMERE,38,2016
GREAT KILLS,257,2016
GREAT KILLS-BAY TERRACE,21,2016
GRYMES HILL,20,2016
HUGUENOT,67,2016
LIVINGSTON,10,2016
MANOR HEIGHTS,54,2016
MARINERS HARBOR,76,2016
MIDLAND BEACH,97,2016
NEW BRIGHTON,54,2016
NEW BRIGHTON-ST. GEORGE,14,2016
NEW DORP,64,2016
NEW DORP-BEACH,34,2016
NEW DORP-HEIGHTS,45,2016
NEW SPRINGVILLE,148,2016
OAKWOOD,16,2016
OAKWOOD-BEACH,29,2016
PLEASANT PLAINS,29,2016
PORT IVORY,17,2016
PORT RICHMOND,62,2016
PRINCES BAY,75,2016
RICHMONDTOWN,39,2016
RICHMONDTOWN-LIGHTHS HILL,9,2016
ROSEBANK,75,2016
ROSSVILLE,60,2016
ROSSVILLE-CHARLESTON,38,2016
ROSSVILLE-PORT MOBIL,27,2016
ROSSVILLE-RICHMOND VALLEY,9,2016
SILVER LAKE,27,2016
SOUTH BEACH,77,2016
STAPLETON,33,2016
STAPLETON-CLIFTON,28,2016
SUNNYSIDE,21,2016
TODT HILL,48,2016
TOMPKINSVILLE,13,2016
TOTTENVILLE,125,2016
TRAVIS,45,2016
WEST NEW BRIGHTON,99,2016
WESTERLEIGH,79,2016
WILLOWBROOK,85,2016
WOODROW,66,2016
