NEIGHBORHOOD,SALE PRICE,YEAR
GLENDALE,172,2016
HAMMELS,24,2016
HILLCREST,40,2016
HOLLIS,140,2016
HOLLIS HILLS,33,2016
HOLLISWOOD,47,2016
HOWARD BEACH,192,2016
JACKSON HEIGHTS,571,2016
JAMAICA,187,2016
JAMAICA BAY,4,2016
JAMAICA ESTATES,98,2016
JAMAICA HILLS,37,2016
KEW GARDENS,175,2016
LAURELTON,107,2016
LITTLE NECK,139,2016
LONG ISLAND CITY,2086,2016
MASPETH,333,2016
MIDDLE VILLAGE,194,2016
NEPONSIT,19,2016
OAKLAND GARDENS,146,2016
OZONE PARK,170,2016
QUEENS VILLAGE,197,2016
QUEENS-UNKNOWN,0,2016
REGO PARK,407,2016
RICHMOND HILL,275,2016
RIDGEWOOD,313,2016
ROCKAWAY PARK,50,2016
ROSEDALE,134,2016
SO. JAMAICA-BAISLEY PARK,166,2016
SOUTH JAMAICA,152,2016
SOUTH OZONE PARK,156,2016
SPRINGFIELD GARDENS,201,2016
ST. ALBANS,166,2016
SUNNYSIDE,250,2016
WHITESTONE,216,2016
WOODHAVEN,173,2016
WOODSIDE,204,2016
