NEIGHBORHOOD,SALE PRICE,YEAR
SUNSET PARK,542,2017
WILLIAMSBURG-CENTRAL,97,2017
WILLIAMSBURG-EAST,482,2017
WILLIAMSBURG-NORTH,741,2017
WILLIAMSBURG-SOUTH,474,2017
WINDSOR TERRACE,152,2017
WYCKOFF HEIGHTS,80,2017
BATH BEACH,185,2016
BAY RIDGE,452,2016
BEDFORD STUYVESANT,1237,2016
BENSONHURST,380,2016
BERGEN BEACH,113,2016
BOERUM HILL,267,2016
BOROUGH PARK,721,2016
BRIGHTON BEACH,230,2016
BROOKLYN HEIGHTS,1097,2016
BROWNSVILLE,132,2016
BUSH TERMINAL,72,2016
BUSHWICK,657,2016
CANARSIE,225,2016
CARROLL GARDENS,257,2016
CLINTON HILL,437,2016
COBBLE HILL,141,2016
COBBLE HILL-WEST,87,2016
CONEY ISLAND,189,2016
CROWN HEIGHTS,838,2016
CYPRESS HILLS,136,2016
DOWNTOWN-FULTON FERRY,722,2016
DOWNTOWN-FULTON MALL,756,2016
DOWNTOWN-METROTECH,138,2016
DYKER HEIGHTS,164,2016
EAST NEW YORK,411,2016
FLATBUSH-CENTRAL,569,2016
FLATBUSH-EAST,304,2016
FLATBUSH-LEFFERTS GARDEN,198,2016
FLATBUSH-NORTH,225,2016
FLATLANDS,62,2016
FORT GREENE,358,2016
GERRITSEN BEACH,38,2016
GOWANUS,249,2016
GRAVESEND,319,2016
GREENPOINT,620,2016
KENSINGTON,125,2016
MADISON,213,2016
MANHATTAN BEACH,70,2016
MARINE PARK,176,2016
MIDWOOD,308,2016
MILL BASIN,96,2016
NAVY YARD,239,2016
OCEAN HILL,207,2016
OCEAN PARKWAY-NORTH,422,2016
OCEAN PARKWAY-SOUTH,217,2016
OLD MILL BASIN,100,2016
PARK SLOPE,824,2016
PARK SLOPE SOUTH,227,2016
PROSPECT HEIGHTS,319,2016
RED HOOK,53,2016
SEAGATE,24,2016
SHEEPSHEAD BAY,388,2016
SPRING CREEK,10,2016
SUNSET PARK,414,2016
WILLIAMSBURG-CENTRAL,101,2016
WILLIAMSBURG-EAST,678,2016
WILLIAMSBURG-NORTH,1007,2016
WILLIAMSBURG-SOUTH,648,2016
WINDSOR TERRACE,117,2016
WYCKOFF HEIGHTS,78,2016
